,contact_id,customer_date,contract_length
27346,477278851,2023-02-06,6
27348,477825882,2023-01-25,12
28036,477669639,2023-01-24,6
28695,477254633,2023-01-24,6
28698,476832631,2023-01-21,12
28757,477941851,2023-01-30,6
29348,478548478,2023-01-26,3
29885,477790725,2023-02-07,12
29897,477296201,2023-02-06,6
29941,477319146,2023-01-31,6
30312,477684958,2023-01-24,6
30517,479095362,2023-01-28,12
30775,476970528,2023-01-31,6
31175,477769402,2023-02-21,24
31182,479101903,2023-01-31,6
31237,479013150,2023-01-28,6
31248,472303053,2023-01-31,6
31275,478369181,2023-01-27,6
31350,476780687,2023-01-24,24
31748,480204563,2023-01-30,12
31770,479565251,2023-01-27,6
31939,476875208,2023-01-26,18
32326,479157108,2023-01-31,6
32376,477780723,2023-02-02,6
32479,476741254,2023-02-02,6
32486,480832048,2023-01-30,6
33131,477019401,2023-02-01,18
33409,480327879,2023-02-08,6
33410,478322576,2023-01-26,36
33413,480354052,2023-01-30,6
33443,479757855,2023-02-01,9
33667,481780404,2023-02-28,12
33690,479204613,2023-01-30,6
34247,477931356,2023-02-01,6
34259,479959651,2023-01-27,18
34280,477824337,2023-01-27,12
34288,479720060,2023-02-02,6
34315,481321687,2023-02-03,6
34331,481437349,2023-01-31,12
34357,478340573,2023-01-31,6
34395,482044601,2023-01-31,3
34775,481463151,2023-02-01,6
34823,480358846,2023-02-13,12
34835,479063330,2023-02-07,12
34838,479623519,2023-02-13,36
34861,478433220,2023-02-06,6
34868,481322717,2023-02-15,6
34872,483075463,2023-02-28,6
35089,476834971,2023-02-04,6
35239,477281350,2023-01-27,6
35317,480248802,2023-02-06,6
35318,480248802,2023-02-06,6
35389,479612945,2023-02-02,12
35496,476802459,2023-01-27,6
35665,477685184,2023-01-31,6
35699,481488130,2023-02-28,6
35716,482390225,2023-02-21,24
35759,477669116,2023-02-02,6
35861,483848054,2023-02-07,9
35871,481843940,2023-02-05,6
36118,477679681,2023-01-26,6
36119,477679681,2023-01-26,6
36377,481508701,2023-02-01,12
36449,483708901,2023-02-03,6
36453,481531209,2023-02-02,6
36488,477655756,2023-01-30,6
36503,479217160,2023-02-01,6
36504,479137921,2023-02-28,12
36544,477636559,2023-01-30,24
36660,476831547,2023-03-01,6
36722,476801399,2023-01-31,6
36735,477716010,2023-01-24,6
36754,481677551,2023-01-31,6
36771,482459639,2023-02-05,12
36808,480814175,2023-02-01,
36851,484324301,2023-02-10,6
36859,484298451,2023-02-13,6
37178,482681261,2023-02-01,12
37198,384713006,2023-02-01,6
37215,483510406,2023-02-13,6
37223,483205524,2023-02-03,24
37256,481944890,2023-02-06,6
37268,483647601,2023-03-01,6
37278,485067972,2023-02-13,12
37287,483873241,2023-02-06,12
37289,482737251,2023-02-09,6
37454,478413221,2023-01-30,6
37524,480502470,2023-02-01,6
37538,480426640,2023-02-02,12
37555,479206811,2023-02-01,6
37571,480355975,2023-02-15,6
38006,476981058,2023-01-25,12
38120,484572322,2023-03-06,24
38161,481476251,2023-02-06,12
38232,477351885,2023-01-23,6
38264,477286887,2023-01-30,18
38266,479813068,2023-02-02,6
38273,479202188,2023-03-13,6
38275,480975901,2023-02-02,6
38289,481056014,2023-01-31,12
38373,477595502,2023-01-26,6
38464,476819127,2023-01-23,12
38520,478360601,2023-01-25,6
38769,477672668,2023-02-01,12
38795,477338897,2023-01-25,6
39037,479623966,2023-02-09,12
39213,478333670,2023-01-25,18
39249,477293055,2023-01-26,6
39253,479706467,2023-01-27,6
39288,480816489,2023-02-08,12
39324,482029669,2023-02-08,18
39409,477826341,2023-01-25,6
39463,478482998,2023-01-30,6
39476,478371510,2023-01-24,6
39593,477748501,2023-01-26,6
39598,479161866,2023-01-26,9
39608,479786781,2023-03-01,6
39622,480263193,2023-02-01,6
39655,480266188,2023-01-30,6
39662,479778034,2023-02-02,6
39694,483831153,2023-02-04,9
39703,485084168,2023-02-23,6
39705,482580551,2023-02-06,12
39747,481950306,2023-02-06,6
39768,478471429,2023-01-30,6
39794,479539651,2023-03-12,9
39801,478909957,2023-02-02,6
39809,479224650,2023-02-01,6
39882,483921180,2023-02-07,6
39906,482980951,2023-02-07,6
39912,486235685,2023-02-11,24
39917,480833882,2023-02-11,6
39958,477010969,2023-02-01,24
